time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp_c
0,5.8658,8.6838,1.312,-13.1603,-27.3588,4.6412,41.75
50,4.2689,10.8026,2.083,-15.6183,-19.4351,-1.374,42.08
100,4.2425,9.6175,2.7031,-37.0229,-19.5725,-17.1145,41.99
150,1.8914,8.4204,4.0845,-46.8244,-26.458,-21.9084,41.89
200,2.9329,9.0573,4.4365,-36.8397,-35.3435,-16.6107,41.75
250,3.371,9.3158,3.79,-41.1756,-14.5038,-30.687,41.94
300,1.7262,7.8865,4.774,-10.0,-8.9466,-26.2748,41.71
350,1.834,8.8897,3.9385,9.0992,-11.5878,-8.8397,42.08
400,2.1452,9.2344,3.6943,1.6489,-25.8779,3.1603,41.99
450,2.9113,8.8849,3.7852,-6.0611,-37.8015,1.4046,41.94
500,3.1843,8.2552,3.7589,-7.6947,-40.0763,-1.4046,41.99
550,3.3208,7.8721,3.5721,-1.4809,-34.4733,-7.1756,41.94
600,4.1851,9.8713,3.1196,2.2748,-18.5496,-3.0229,41.89
650,3.8283,9.7827,3.7206,-4.2901,-2.0916,14.1985,41.99
700,3.644,9.8378,3.5865,-10.1221,-15.8931,17.7405,42.13
750,4.6998,10.2065,3.4453,-15.3282,-19.9389,13.6794,41.71
800,5.7796,9.177,2.9592,-19.084,-3.0076,6.7328,41.94
850,3.6272,9.5481,2.6097,-2.4122,-8.626,-14.7481,41.94
900,1.9369,8.351,1.3001,1.2824,-13.313,-35.2366,41.8
950,1.3599,9.596,0.9816,2.9771,-27.771,-8.1832,41.99
1000,3.553,8.7891,0.6009,4.916,-25.7099,-2.9466,41.94
1050,3.1987,9.3206,0.0,13.1908,-13.8015,-25.5267,41.8
1100,2.9281,10.5776,-0.5124,3.7863,-2.0153,-21.7252,41.94
1150,2.9305,9.9575,0.2729,-12.2137,12.0153,-14.5954,41.8
1200,3.0718,9.1147,1.3192,-19.3435,18.9313,-6.9313,41.94
1250,3.2417,8.0206,2.047,-15.1756,20.3053,-9.0382,41.8
1300,2.8156,8.2289,1.9561,-1.4504,16.7176,-26.5649,41.89
1350,2.2745,8.8897,1.7933,2.7481,14.6412,-33.4656,42.13
1400,2.1835,9.8378,1.6185,4.5191,14.0611,-28.4275,41.75
