time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp_c
50,0.1891,10.0054,0.9433,-2.3511,0.4427,0.0000,41.28
100,0.1676,9.9790,0.9481,-2.4733,0.4885,-0.1069,41.09
150,0.1628,9.9838,0.9337,-2.4122,0.4122,-0.1069,41.42
200,0.1700,9.9647,0.9337,-2.2443,0.4275,0.0611,41.42
250,0.2035,10.0149,0.9673,-2.4275,0.2290,-0.1985,40.91
300,0.1676,9.9862,0.9481,-2.2901,0.3359,0.1069,41.38
350,0.1748,9.9575,0.9337,-2.2443,0.5344,0.0916,41.28
400,0.1580,9.9551,0.9481,-2.5038,0.3053,-0.0458,41.42
450,0.1891,9.9623,0.9529,-2.2443,0.4275,-0.0916,41.28
500,0.1915,10.0317,0.9984,-2.1679,0.5954,0.1069,41.42
550,0.1508,9.9718,0.9146,-2.1832,0.6718,-0.0305,41.24
600,0.1820,9.9623,0.9266,-2.0458,0.4885,-0.1069,41.38
650,0.2298,9.9790,0.8954,-2.3511,0.3206,-0.0305,41.28
700,0.1939,9.9766,0.9002,-2.0763,0.4122,0.0305,41.38
750,0.1700,9.9503,0.9170,-2.4122,0.4122,-0.0611,41.24
800,0.1915,9.9671,0.9385,-2.2748,0.3359,-0.1985,41.09
850,0.1772,9.9766,0.9361,-2.2748,0.5191,0.0458,41.38
900,0.1748,9.9551,0.9385,-2.4122,0.3359,-0.0305,40.95
950,0.1772,9.9311,0.8715,-2.5954,0.4275,0.0305,41.38
1000,0.2155,9.9527,0.9170,-2.1069,0.4427,-0.2443,41.05
1050,0.2083,9.9455,0.8811,-2.3664,0.3511,-0.2748,41.24
1100,0.1939,9.9910,0.9649,-2.3511,0.7176,-0.0458,41.19
1150,0.2155,9.9742,0.9505,-2.3359,0.3664,-0.1069,41.24
1200,0.1820,9.9934,0.9385,-2.6412,0.6260,-0.1069,41.42
1250,0.1652,9.9671,0.9361,-2.2748,0.5191,0.2901,41.24
1300,0.1844,9.9503,0.9170,-2.5802,0.3511,0.0153,41.38
1350,0.1748,9.9527,0.8763,-2.5649,0.4733,-0.3053,41.19
1400,0.1748,9.9575,0.9553,-2.3206,0.5344,-0.1832,41.38
1450,0.1652,10.0030,0.9361,-2.4580,0.6107,-0.2595,41.19
1500,0.1724,9.9790,0.9457,-2.2137,0.3817,-0.2443,41.24
1550,0.2011,9.9216,0.9481,-2.4122,0.5496,-0.1832,41.19
1600,0.1772,9.9288,0.9170,-2.5649,0.3817,-0.3511,41.38
1650,0.1437,9.9647,0.9218,-2.3359,0.5496,-0.1985,41.05
1700,0.2011,9.9934,0.9242,-2.5496,0.5496,-0.1679,41.28
1750,0.2155,9.9599,0.9673,-2.4275,0.3969,-0.4733,41.28
1800,0.1796,9.9838,0.8978,-2.2290,0.5954,-0.3664,41.09
1850,0.1556,9.9910,0.9361,-2.2748,0.7481,0.1221,41.38
1900,0.1604,9.9647,0.9385,-2.3664,0.2748,-0.3053,41.09
1950,0.2131,9.9335,0.9457,-2.4275,0.4580,0.0763,41.09
2000,0.1844,10.0006,0.9050,-2.3664,0.4733,-0.0305,41.42
2050,0.1413,9.9742,0.9673,-2.3969,0.6412,-0.3206,41.28
2100,0.1772,9.9647,0.9170,-2.3359,0.5496,-0.2137,41.28
2150,0.1844,9.9647,0.9194,-2.2290,0.4885,-0.2443,41.42
2200,0.1580,9.9910,0.9290,-2.2748,0.5802,-0.3206,41.19
2250,0.1556,9.9599,0.9074,-2.4885,0.6718,-0.2748,41.38
2300,0.2011,9.9575,0.9457,-2.1679,0.6870,-0.2290,41.28
2350,0.1963,9.9264,0.9337,-2.2595,0.6107,-0.1069,41.05
2400,0.2083,9.9742,0.9170,-2.2901,0.7328,-0.0305,41.24
2450,0.1508,9.9695,0.9074,-2.3664,0.4427,-0.1985,41.28
2500,0.1820,9.9479,0.9553,-2.2595,0.7634,-0.0611,41.38
2550,0.1844,9.9599,0.9122,-2.2443,0.5954,-0.3053,41.09
2600,0.1532,9.9359,0.9194,-2.2443,0.4427,-0.3511,41.09
2650,0.1772,10.0078,0.9337,-2.3206,0.5496,-0.2443,41.38
2700,0.2131,9.9862,0.8763,-2.4733,0.4122,-0.1374,41.24
2750,0.1556,9.9647,0.8691,-2.3053,0.5954,-0.2443,41.28
2800,0.1532,9.9407,1.0223,-2.3511,0.5954,-0.4122,41.42
2850,0.2011,9.9503,0.9361,-2.2748,0.6107,-0.4122,41.57
2900,0.1532,9.9695,0.9385,-2.2137,0.6107,-0.0916,41.19
2950,0.1820,10.0054,0.9242,-2.3511,0.3053,-0.1527,41.38
3000,0.1796,9.9671,0.9266,-2.1985,0.6718,0.0153,40.95
3050,0.1915,9.9742,0.9816,-2.4427,0.6718,-0.1069,41.38
3100,0.2035,9.9982,0.9170,-2.2595,0.7328,-0.0458,41.42
3150,0.1939,9.9527,0.9984,-2.4885,0.5344,-0.1374,41.38
3200,0.1939,9.9623,0.9050,-2.2443,0.4885,-0.3359,41.19
3250,0.1772,9.9671,0.9840,-2.1832,0.3206,-0.0916,41.24
3300,0.1676,9.9790,0.8859,-2.2443,0.3817,-0.2290,41.24
3350,0.2059,10.0030,0.9505,-2.1679,0.5344,-0.2443,41.28
3400,0.1796,9.9718,0.8859,-2.2901,0.5802,-0.0458,41.38
3450,0.2107,9.9766,0.8691,-2.3511,0.4427,-0.0458,41.24
3500,0.1700,9.9910,0.9433,-2.1679,0.3969,0.0611,41.38
3550,0.1915,9.9886,0.9577,-2.2748,0.3969,0.0000,41.24
3600,0.1748,9.9718,0.9050,-2.1374,0.3511,0.0611,41.19
3650,0.1460,9.9742,0.9481,-2.1069,0.3817,0.0763,41.47
3700,0.1460,9.9623,0.9242,-2.4885,0.2595,-0.0611,41.24
3750,0.1820,9.9527,0.8811,-2.3511,0.6565,-0.3359,41.28
3800,0.1772,9.9551,0.9050,-2.1527,0.4580,0.0153,41.38
3850,0.1772,9.9647,0.9194,-2.2901,0.6870,-0.1832,41.28
3900,0.2227,9.9958,0.9529,-2.2443,0.5802,0.0611,41.24
3950,0.1844,9.9790,0.9361,-2.3511,0.4275,0.0916,41.38
4000,0.1652,9.9695,1.0104,-2.4580,0.4580,-0.2901,41.24
4050,0.1867,9.9527,0.9457,-2.1069,0.3664,0.0153,40.95
4100,0.1580,9.9958,0.9146,-2.1985,0.3969,-0.1679,41.42
4150,0.2155,9.9838,0.9361,-2.1221,0.5496,-0.1679,41.61
4200,0.1652,9.9551,0.8954,-2.2901,0.3359,-0.1679,41.19
4250,0.1963,9.9575,0.8691,-2.4275,0.5954,-0.2748,41.24
4300,0.1891,9.9599,0.9146,-2.3817,0.7176,-0.2595,41.38
4350,0.1508,9.9575,0.9697,-2.3053,0.5191,-0.1985,41.42
4400,0.1580,9.9599,0.8978,-2.3817,0.3817,-0.1679,41.38
4450,0.1820,9.9934,0.9313,-2.2290,0.4122,-0.3511,41.24
4500,0.2035,9.9718,0.9673,-2.3206,0.3359,-0.2137,41.38
4550,0.2107,9.9838,0.9337,-2.6107,0.5649,0.0153,41.42
4600,0.1939,9.9671,0.9002,-2.2901,0.5954,0.0305,41.38
4650,0.1891,9.9623,0.8930,-2.3969,0.5344,-0.0305,41.38
4700,0.2442,9.9479,0.9290,-2.1221,0.3359,0.1374,41.28
4750,0.1939,9.9407,0.9266,-2.3053,0.4122,-0.2443,41.38
4800,0.1748,9.9575,0.9385,-2.4580,0.4733,-0.0305,41.42
4850,0.1772,9.9455,0.9457,-2.3206,0.4275,-0.1374,41.24
4900,0.1987,9.9790,0.9074,-2.2137,0.4427,-0.1832,41.42
4950,0.1820,9.9814,0.8978,-2.3359,0.4275,0.0458,41.47
5000,0.2131,9.9647,0.9098,-2.3664,0.5344,-0.1832,41.24
5050,0.1939,9.9359,0.8739,-2.1832,0.8702,-0.2748,41.38
5100,0.2083,9.9551,0.8930,-2.2595,0.2748,-0.1679,41.19
5150,0.1700,9.9647,0.9026,-2.3053,0.6107,-0.1374,41.09
5200,0.1604,9.9599,0.9146,-2.2290,0.4885,-0.2443,41.19
5250,0.1891,9.9599,0.9577,-2.2901,0.2901,-0.2443,41.38
5300,0.1365,9.9695,0.9242,-2.5496,0.4733,-0.3206,41.42
5350,0.1724,10.0078,0.9601,-2.2748,0.6565,0.0458,41.42
5400,0.1556,9.9862,0.9385,-2.5191,0.5191,0.0000,41.38
5450,0.1891,9.9623,0.9266,-2.3359,0.5802,0.0305,41.42
5500,0.1556,9.9383,0.9409,-2.3206,0.3664,-0.3817,41.42
5550,0.1796,9.9599,0.9553,-2.4733,0.4122,-0.2290,41.38
5600,0.1341,9.9671,0.9146,-2.4580,0.6260,-0.2137,41.42
5650,0.1748,9.9575,0.9002,-2.4427,0.6565,-0.3206,41.24
5700,0.1556,9.9695,0.8811,-2.4427,0.6870,-0.1679,41.24
5750,0.2107,9.9431,0.8763,-2.2901,0.6260,-0.4580,41.28
5800,0.2107,9.9479,1.0319,-2.5344,0.4427,-0.1832,41.09
5850,0.1772,9.9790,0.9290,-2.5191,0.7328,0.1374,41.80
5900,0.1484,9.9527,0.9170,-2.3664,0.5496,-0.0458,41.19
5950,0.1915,9.9503,0.9122,-2.2901,0.5496,-0.1221,41.38
6000,0.1748,9.9695,0.9673,-2.5191,0.4275,-0.2290,41.24
6050,0.1532,9.9575,0.9218,-2.1221,0.3053,-0.3817,41.38
6100,0.1604,10.0102,0.8906,-2.4427,0.4275,-0.1832,41.42
6150,0.1532,9.9910,0.9577,-2.1985,0.5038,-0.1832,41.42
6200,0.1365,9.9886,0.9577,-2.0916,0.6718,-0.2137,41.28
6250,0.2155,9.9551,0.9242,-2.3359,0.5344,-0.0611,41.38
6300,0.1556,9.9623,0.8739,-2.3664,0.4427,0.0916,41.24
6350,0.1628,9.9695,0.9218,-2.3969,0.7481,-0.1832,41.09
6400,0.1844,9.9790,0.9218,-2.1374,0.7939,-0.0611,41.47
6450,0.1724,9.9790,0.8835,-2.4122,0.3206,-0.2595,41.28
6500,0.1604,9.9934,0.8763,-2.4427,0.6107,-0.3969,41.38
6550,0.1796,9.9742,0.9290,-2.2290,0.6870,-0.0611,41.42
6600,0.1389,9.9886,0.9649,-2.3206,0.6718,-0.2443,41.42
6650,0.1365,9.9790,1.0199,-2.5344,0.4733,-0.0763,41.24
6700,0.1700,9.9862,0.9505,-2.4427,-0.0458,-0.0153,41.19
6750,0.1580,9.9599,0.9050,-2.3053,0.4733,-0.0763,41.38
6800,0.1748,9.9982,0.9290,-2.2901,0.5038,-0.0305,41.47
6850,0.1820,10.0293,0.9409,-2.4122,0.3817,-0.1679,41.38
6900,0.1604,9.9647,0.9122,-2.4733,0.3359,-0.0611,41.38
6950,0.1460,9.9718,0.9433,-2.4885,0.3511,-0.1832,41.42
7000,0.1772,9.9982,0.9194,-2.0458,0.5496,-0.0153,41.61
7050,0.1724,9.9647,0.9936,-2.1985,0.4580,-0.1679,41.38
7100,0.1796,9.9695,0.9361,-2.7023,0.4580,-0.1985,41.38
7150,0.1963,9.9695,0.9218,-2.1985,0.3817,0.0000,41.19
7200,0.1532,9.9671,0.8691,-2.3969,0.3664,-0.0763,41.61
7250,0.1772,9.9671,0.9649,-2.1985,0.6107,0.0000,41.42
7300,0.1891,9.9934,0.9098,-2.5191,0.4275,0.0458,41.57
7350,0.1724,9.9383,1.0271,-2.2137,0.3817,-0.2290,41.47
7400,0.1891,9.9718,0.9457,-2.2901,0.8244,-0.1527,41.38
7450,0.2107,9.9527,0.9505,-2.2290,0.5496,-0.1221,41.24
7500,0.1939,9.9742,0.9242,-2.3511,0.3817,-0.1679,41.47
7550,0.1891,9.9766,0.9218,-2.4733,0.7786,0.0458,41.47
7600,0.2059,9.9910,0.8978,-2.2748,0.4733,-0.3664,41.38
7650,0.1460,9.9671,0.8763,-2.2748,0.5649,0.0305,41.57
7700,0.1915,9.9695,0.8763,-2.4733,0.4733,-0.1985,41.19
7750,0.2298,9.9599,0.8595,-2.0458,0.5191,-0.0305,41.47
7800,0.1987,9.9623,0.9313,-2.4122,0.3511,0.1069,41.47
7850,0.2035,9.9886,0.9816,-2.5649,0.7176,0.1374,41.47
7900,0.1484,9.9479,0.9529,-2.4122,0.5038,-0.0916,41.24
7950,0.1963,9.9479,0.9290,-2.4275,0.4275,-0.3206,41.24
8000,0.2227,9.9335,0.9385,-2.2595,0.5802,-0.1374,41.42
8050,0.2035,9.9359,0.9361,-2.3817,0.5649,-0.2595,41.42
