time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp_c,label
50,-0.3543,10.2376,1.2115,-0.0458,-8.5496,-5.313,41.09,On Head
100,-0.4693,10.0341,1.0798,-0.1069,-2.1985,-2.8244,41.19,On Head
150,-0.3855,9.9742,0.7685,0.1069,8.4275,5.6489,40.72,On Head
200,-0.3232,10.3286,0.2634,0.9313,25.8321,19.2824,40.86,On Head
250,-0.0527,10.3549,-0.1221,-0.9008,44.8092,34.0611,41.19,On Head
300,0.249,10.0796,0.0239,-10.7481,68.3053,43.0076,40.95,On Head
350,0.0263,9.6343,0.7494,-7.0382,72.8244,42.3969,40.91,On Head
400,-0.0192,9.6893,1.2067,-9.3435,62.9618,40.916,41.09,On Head
450,0.6464,9.481,1.1851,-3.2366,53.6183,36.1679,40.91,On Head
500,1.3767,9.1794,1.1875,-2.0153,52.6107,32.3206,40.86,On Head
550,1.5538,9.5888,1.1085,3.6336,52.5649,30.8397,41.05,On Head
600,2.7366,9.754,0.7949,8.8702,53.4504,21.4962,41.24,On Head
650,2.8706,10.9295,0.067,0.5344,75.0229,1.1145,40.95,On Head
700,1.9824,10.489,0.103,1.4809,102.0,2.1832,40.86,On Head
750,1.6735,9.651,0.5938,6.3511,130.1374,14.2137,40.77,On Head
800,1.6233,9.3829,0.984,17.084,138.3053,18.3664,40.95,On Head
850,1.324,9.8809,1.0415,18.5802,130.1527,13.8168,40.95,On Head
900,1.0295,10.0293,1.2617,13.5267,102.687,18.1527,40.72,On Head
950,1.0678,9.9814,1.0654,14.6565,65.145,11.3282,40.77,On Head
1000,1.8076,10.2065,0.3639,3.5573,46.458,-0.5802,41.09,On Head
1050,1.3551,9.9551,0.6153,-2.0,39.5878,-0.6565,41.05,On Head
1100,2.0207,9.5265,0.7805,-8.3206,32.626,4.4122,40.91,On Head
1150,2.4517,9.3757,1.0367,-6.0305,34.1221,0.5038,41.24,On Head
1200,2.1739,9.9072,1.1516,-4.0916,25.2672,-1.0076,40.91,On Head
1250,2.0423,9.7324,1.324,-5.0534,14.3969,-1.2824,41.09,On Head
1300,2.2649,9.6295,0.7494,0.0,6.229,0.5038,41.05,On Head
1350,2.3296,9.3805,0.3089,-0.6718,-0.7634,6.6565,40.95,On Head
1400,2.9042,9.4164,-0.1365,-4.0763,-1.9389,4.9771,40.95,On Head
1450,2.9856,9.4164,-0.2777,-7.6031,0.2595,1.1298,41.05,On Head
1500,3.2298,12.2176,-0.1221,-8.5038,-2.9924,0.3053,40.91,On Head
1550,2.7102,10.2663,-0.0407,-26.0,2.1832,-9.9542,41.05,On Head
1600,2.411,10.0772,1.1779,-50.0611,8.4733,-21.771,41.09,On Head
1650,0.7374,10.0149,3.1891,-70.0153,13.8626,-36.2595,40.95,On Head
1700,-0.9625,8.916,5.8442,-86.0916,2.1985,-23.0534,41.09,On Head
1750,-0.3783,8.0637,7.4316,-63.5878,-7.9084,-5.7863,41.05,On Head
1800,-0.0479,7.0916,7.4531,-35.3893,-14.0916,-13.3282,41.19,On Head
1850,-0.2035,7.6734,6.4404,-9.374,-17.6947,-13.8015,41.09,On Head
1900,-0.2227,8.7149,5.6743,-3.6947,-21.3435,-14.7023,41.09,On Head
1950,-0.067,8.9064,5.2888,-8.3817,-16.2901,-11.2519,40.91,On Head
2000,0.2514,8.3965,5.7221,-7.2977,-11.0382,-1.9389,40.86,On Head
2050,0.6416,8.5234,5.8682,-6.3969,-6.5496,-2.4275,41.09,On Head
2100,0.5148,8.6119,6.3183,-4.6718,-4.5038,-5.9237,41.24,On Head
2150,0.2035,8.4563,6.9025,-3.374,-15.0076,-15.7099,40.95,On Head
2200,-0.0383,9.1746,6.7995,2.3664,-27.1908,-16.626,41.05,On Head
2250,-0.8978,8.691,6.8187,9.1603,-40.687,-11.8931,40.91,On Head
2300,-0.2083,8.8274,5.387,22.9466,-69.2061,-0.0305,40.95,On Head
2350,0.9792,8.9304,4.2449,18.7634,-82.4427,-7.3435,40.95,On Head
2400,0.9457,9.2009,3.984,17.2519,-94.8855,-22.0153,41.19,On Head
2450,0.8906,8.8466,3.0047,25.8473,-94.0458,-12.3511,40.95,On Head
2500,1.2594,8.9663,2.3152,17.0687,-93.9389,1.8473,41.05,On Head
2550,2.217,9.5648,1.9201,12.7481,-104.1679,11.1603,40.95,On Head
2600,3.711,10.726,1.5179,-1.8931,-105.0382,5.5725,40.95,On Head
2650,3.8331,10.4411,1.6759,-17.9542,-93.8168,-8.5649,41.09,On Head
2700,2.8683,8.6095,1.9249,-21.7099,-76.4885,-25.7863,40.77,On Head
2750,2.3152,8.3773,1.9489,-10.2901,-65.7405,-28.4122,40.86,On Head
2800,2.9521,9.9599,2.2434,-9.0076,-51.4962,-32.2137,41.09,On Head
