time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp_c,label
23411,-1.7765,-2.2721,10.2592,-1.0992,1.5267,0.0916,40.95,On Head
23476,-1.4557,-2.2865,10.2544,-1.5573,-0.9313,-2.2901,40.95,On Head
23539,-1.6712,-2.2482,10.2687,0.3053,-3.9542,-2.6260,40.91,On Head
23602,-1.0367,-2.2960,10.2927,1.1450,-1.5725,-8.6412,41.09,On Head
23665,-0.8284,-2.3966,10.3358,4.1527,-3.0687,-9.1603,41.05,On Head
23728,-0.6416,-2.7749,10.0868,1.6183,1.8321,-17.5420,41.09,On Head
23791,-1.0008,-2.7198,10.3382,5.7863,1.4351,-22.8244,40.91,On Head
23857,-1.2713,-2.3224,10.4244,8.6718,-0.9618,-22.0458,40.86,On Head
23920,-0.7805,-2.3415,10.4004,12.0000,4.4733,-15.7252,40.95,On Head
23983,-0.6081,-2.5139,10.7356,11.8626,3.3740,-27.3282,40.77,On Head
24046,-0.9505,-2.1141,10.5249,28.2901,7.0382,-29.0229,41.05,On Head
24109,-0.7230,-1.4413,11.2504,23.7099,-1.4046,-22.9618,40.77,On Head
24172,-0.2538,-0.9649,9.9742,22.1832,6.2595,-33.0382,40.91,On Head
24235,-1.0127,-0.4501,9.6534,9.5878,7.2061,-29.1450,41.05,On Head
24298,-1.0942,0.4884,9.6750,-10.8397,6.9313,-17.3893,41.09,On Head
24364,-2.3942,-0.0814,10.9415,-9.2824,7.0076,-17.5878,40.86,On Head
24427,-1.2857,-0.9625,10.6207,-1.5115,6.1221,-20.5344,40.91,On Head
24490,-1.5347,-1.7717,10.3621,-5.3740,14.2137,-14.8855,40.67,On Head
24553,-2.6911,-2.2266,11.0540,-10.6870,12.0153,-2.5649,40.91,On Head
24616,-2.8060,-2.0925,11.1306,-4.5496,-0.8550,16.1679,40.86,On Head
24679,-2.9736,-1.1205,10.7069,13.1450,-7.9542,22.0458,40.77,On Head
24742,-2.5426,-1.1875,10.0437,22.5344,-11.7557,27.8168,40.95,On Head
24808,-2.3080,-0.2346,10.0796,26.7939,-12.5954,36.0153,40.95,On Head
24871,-1.6999,0.6177,9.4667,15.6641,-10.9771,32.9313,40.95,On Head
24934,-2.2122,1.2522,9.9599,2.1832,-4.1985,35.5267,40.91,On Head
24997,-1.4365,0.9673,10.0868,-15.4351,-13.4351,41.4504,40.86,On Head
25060,-1.6233,0.0694,10.4986,-9.7405,-10.9771,36.5038,41.05,On Head
