time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp_c,label
50,0.7901,11.5520,0.7374,-34.0916,-29.5420,-19.3435,41.19,In Hand
100,0.6608,11.0804,0.8930,-37.5878,-33.5115,-22.5344,40.91,In Hand
150,1.1301,10.8170,1.0415,-43.7863,-29.0534,-21.1450,41.09,In Hand
200,0.3903,10.7548,1.1899,-47.1145,-20.4275,-32.7634,40.95,In Hand
250,0.8140,11.2120,0.6991,-55.7863,-15.6489,-17.2672,40.95,In Hand
300,0.3041,9.4092,1.1947,-64.1527,-10.9313,-27.8626,41.19,In Hand
350,0.3519,9.3972,2.1117,-43.9389,-5.5725,-16.3969,41.19,In Hand
400,-0.9601,9.1866,2.1979,-37.6183,-3.5725,15.1908,41.09,In Hand
450,-0.9816,8.8274,3.1963,-29.2061,3.8779,12.1069,40.91,In Hand
500,-0.3950,9.2632,3.5123,-19.4351,-1.1145,15.9237,40.91,In Hand
550,0.0646,10.6374,3.5027,-13.4046,1.1603,28.3664,41.24,In Hand
600,0.5052,9.6654,3.2489,-27.4656,-9.4809,21.9389,41.05,In Hand
650,0.9984,8.7700,3.7709,-22.0305,-13.7252,20.5344,40.86,In Hand
700,1.1779,8.6526,3.6081,-6.9008,-19.9389,31.8168,41.19,In Hand
750,1.3001,8.4348,3.1508,4.8702,-20.6107,35.1450,40.91,In Hand
800,1.7933,8.7915,2.9640,11.8473,-19.1298,14.3053,41.09,In Hand
850,1.0582,9.2512,3.4405,4.4122,-23.2061,-13.1298,41.38,In Hand
900,2.0590,10.1155,3.3615,-10.5191,-34.9771,-9.9084,40.95,In Hand
950,2.4636,8.8370,3.4500,-16.0458,-31.0534,-2.8702,41.09,In Hand
1000,3.3974,8.6000,3.4572,-10.6260,-24.3664,-8.2137,40.91,In Hand
1050,3.1340,8.9783,3.3495,-4.9618,-8.9771,-12.5496,41.09,In Hand
1100,2.4636,9.4930,3.1005,-12.3664,-2.4733,-20.0458,40.91,In Hand
1150,1.5826,9.0884,3.5650,-19.3740,-4.7939,-17.6641,41.09,In Hand
1200,2.0327,8.3797,3.1460,-4.4427,-6.0611,2.8855,41.05,In Hand
1250,1.7047,8.3007,3.0909,16.0916,7.4046,1.6336,40.95,In Hand
1300,1.2019,9.3134,2.7174,23.0076,9.8473,-12.8550,40.95,In Hand
1350,0.7566,9.4020,2.6360,17.0840,7.7252,-12.2137,40.95,In Hand
1400,0.9816,9.1363,2.8132,24.5191,9.1450,-14.5496,40.91,In Hand
1450,0.6009,10.2352,2.9353,21.5267,3.2519,-9.8779,40.86,In Hand
1500,0.9960,9.2967,2.9784,27.5267,0.6870,-6.8397,41.09,In Hand
1550,0.8643,10.3166,2.5714,33.7099,0.1527,-2.9313,41.09,In Hand
1600,0.9361,11.0301,2.0183,26.2290,-4.2901,4.0153,41.19,In Hand
1650,1.0391,11.1498,1.9106,14.8092,-3.8473,3.1450,40.91,In Hand
1700,0.9361,11.2623,1.9441,-2.7328,-2.7328,1.6641,40.77,In Hand
1750,1.2689,9.9551,2.0183,-10.0458,-2.2901,0.6870,41.05,In Hand
