time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp_c,label
50,-3.9097,-1.5490,-8.1618,15.3435,19.5267,-5.8321,40.77,On Belt
100,-4.8459,-2.0063,-7.9416,10.1527,7.4962,-31.6947,40.95,On Belt
150,-5.1619,-0.9002,-7.8123,-18.8397,-16.5038,-65.2672,40.77,On Belt
200,-5.0733,-0.5148,-7.8075,-63.7863,-39.3893,-85.1603,40.77,On Belt
250,-4.1204,-0.2969,-7.9751,-84.5954,-36.9313,-84.1374,40.95,On Belt
300,-5.8945,-1.4389,-6.6535,-84.5802,-32.4733,-68.7176,41.09,On Belt
350,-6.0525,-1.3479,-6.3805,-63.0229,-38.3817,-42.7176,40.95,On Belt
400,-6.4404,-2.2936,-6.5529,-27.3130,-39.5115,-19.3893,41.05,On Belt
450,-6.7445,-2.5570,-6.6176,-3.4504,-42.5954,-3.8473,40.67,On Belt
500,-6.2991,-0.5866,-5.9951,13.9847,-51.8779,-4.4122,40.58,On Belt
550,-6.4356,-0.4070,-6.9145,13.0534,-57.3130,-6.7176,41.05,On Belt
600,-6.9599,-0.4693,-7.8650,-8.7176,-54.6412,-24.0763,40.95,On Belt
650,-6.6104,0.8691,-8.9088,-33.9237,-41.4809,-25.2824,40.67,On Belt
700,-7.0653,0.2849,-5.5569,-70.7328,-31.8473,-36.8092,40.77,On Belt
750,-6.3303,-1.0894,-5.0925,-90.5191,-35.4046,-58.7939,40.72,On Belt
800,-6.5529,-1.1540,-5.1595,-94.3359,-21.6336,-58.4275,40.72,On Belt
850,-7.0485,-2.1955,-4.9632,-90.7023,-15.5115,-66.3511,40.72,On Belt
900,-7.4939,-1.6161,-4.6112,-87.0076,-16.7328,-67.7557,40.91,On Belt
950,-8.0038,-1.3838,-4.2258,-83.9237,-20.6107,-64.7939,40.72,On Belt
1000,-8.2791,-1.6592,-4.6567,-85.9542,-23.0382,-54.0458,40.77,On Belt
1050,-7.8458,-2.6719,-5.0829,-59.5267,-10.1832,-28.5802,40.67,On Belt
1100,-7.9200,-3.4548,-3.8068,-36.4427,1.3740,-19.8015,40.77,On Belt
1150,-7.3813,-3.4333,-3.6799,4.7481,-6.9771,-13.8321,40.95,On Belt
1200,-7.0461,-3.0335,-4.4341,31.8168,2.5038,-9.3282,40.77,On Belt
1250,-7.5681,-2.8874,-5.3654,45.8779,8.4427,6.8092,40.91,On Belt
1300,-8.1882,-2.7318,-5.7796,50.7634,18.4580,21.4046,40.72,On Belt
1350,-8.3151,-2.0901,-4.9105,53.1450,17.5267,29.3740,40.72,On Belt
1400,-7.6351,-2.1835,-4.7597,53.8779,13.2214,29.5573,40.67,On Belt
1450,-7.5968,-1.3144,-4.5131,55.0382,7.5878,29.1145,40.86,On Belt
1500,-7.6614,-1.5921,-5.1332,44.4885,6.2595,32.2137,40.77,On Belt
1550,-7.5082,-1.9249,-5.7748,35.6641,9.9695,31.5420,40.95,On Belt
1600,-7.9966,-1.9944,-5.8826,30.0916,13.9237,40.9313,40.91,On Belt
1650,-7.0749,-1.9896,-5.2672,19.3282,12.9771,39.3435,40.77,On Belt
1700,-7.2329,-2.5259,-5.2337,10.1221,11.8168,36.7176,40.77,On Belt
1750,-7.0988,-2.3894,-4.8937,6.5649,8.4275,38.0153,40.86,On Belt
1800,-7.5824,-3.0143,-5.7676,21.6794,17.4656,47.4046,40.72,On Belt
1850,-8.2217,-2.0566,-4.8554,49.5725,14.3053,70.4733,40.72,On Belt
1900,-7.0485,-0.5363,-4.4197,59.7405,24.9924,90.9618,40.77,On Belt
1950,-6.8857,-1.0080,-4.7860,73.4504,37.5878,99.2824,40.67,On Belt
2000,-7.3358,-1.3934,-5.3726,91.3740,41.7557,100.2290,40.72,On Belt
2050,-7.4531,-0.5602,-5.4420,102.3053,40.3206,105.4504,40.91,On Belt
2100,-7.2712,0.0886,-6.1651,103.6183,47.0840,112.6565,40.86,On Belt
2150,-6.7924,0.2969,-6.0980,107.8779,51.8626,125.8168,40.67,On Belt
2200,-6.1124,0.1939,-6.1316,114.3664,54.2443,129.4657,41.05,On Belt
2250,-5.7269,-0.2131,-6.2968,116.7939,50.8855,130.5496,40.72,On Belt
2300,-5.9209,0.4741,-7.2640,129.4504,47.2519,127.7405,41.09,On Belt
2350,-6.9671,0.8835,-9.0142,103.5878,52.1832,101.1756,40.72,On Belt
2400,-6.8402,-0.8954,-8.5162,68.6870,24.8702,83.9389,40.67,On Belt
2450,-4.8530,0.3424,-7.3574,30.4427,8.7786,51.3740,40.86,On Belt
2500,-4.2473,-0.4310,-5.8873,2.9618,-7.4351,23.4962,40.72,On Belt
2550,-4.5131,-1.6807,-6.6176,9.1298,-25.1603,22.6718,40.86,On Belt
2600,-5.0350,-0.9768,-9.7037,51.0229,-1.9237,63.2366,40.53,On Belt
2650,-6.6559,-0.4118,-7.5202,71.7099,3.4351,83.1756,40.86,On Belt
