time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp_c,label
50,0.0144,9.9647,1.4485,-2.4580,0.6260,-0.0153,42.27,On Surface
100,-0.0144,9.9240,1.5036,-2.4885,0.7786,-0.1374,42.32,On Surface
150,-0.0407,9.9000,1.4293,-2.7939,0.6107,-0.1679,42.22,On Surface
200,-0.0359,9.9216,1.4581,-2.4733,0.6260,-0.3053,42.27,On Surface
250,-0.0096,9.9288,1.4269,-2.1985,0.6870,-0.2137,42.32,On Surface
300,-0.0287,9.9240,1.4126,-2.3359,0.6107,-0.2595,42.41,On Surface
350,-0.0239,9.9311,1.4102,-2.6718,0.7481,-0.0611,41.99,On Surface
400,0.0072,9.9383,1.4413,-2.3969,0.5802,-0.0305,42.46,On Surface
450,-0.0359,9.9264,1.4964,-2.3817,0.4122,0.0611,42.22,On Surface
500,-0.0335,9.8881,1.3958,-2.5344,0.5802,-0.1985,42.32,On Surface
550,-0.0311,9.9551,1.4509,-2.3053,0.1374,-0.0611,42.41,On Surface
600,-0.0239,9.9551,1.4748,-2.5038,0.3969,-0.2748,42.46,On Surface
650,-0.0287,9.9383,1.4413,-2.4427,0.6718,-0.0458,42.27,On Surface
700,-0.0694,9.9359,1.4126,-2.3511,0.4427,-0.1679,42.27,On Surface
750,-0.0024,9.8952,1.4485,-2.7023,0.3817,-0.3359,42.22,On Surface
800,-0.0192,9.9216,1.4461,-2.3969,0.2901,-0.1985,42.32,On Surface
850,-0.0455,9.8833,1.5203,-2.3664,0.3817,-0.0458,42.22,On Surface
900,-0.0048,9.8881,1.5131,-2.4275,0.2595,-0.0916,42.27,On Surface
950,-0.0072,9.9120,1.4676,-2.2748,0.3359,0.1527,42.27,On Surface
1000,0.0048,9.9048,1.5155,-2.3206,0.3817,0.0916,42.32,On Surface
1050,-0.0096,9.9240,1.4245,-2.6870,0.5649,-0.3817,42.27,On Surface
1100,-0.0455,9.9168,1.4581,-2.5191,0.5038,-0.3511,42.41,On Surface
1150,-0.0359,9.9168,1.3910,-2.1832,0.7634,-0.0153,42.32,On Surface
