time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp_c,label
50,-7.3933,-4.7118,-2.8395,-16.5954,57.9237,-3.3893,41.47,In Hand
100,-7.8338,-4.7214,-2.6552,-7.6947,52.8702,-12.5954,41.57,In Hand
150,-8.3199,-4.5442,-2.6863,-4.1527,35.5878,-13.1298,41.75,In Hand
200,-8.3366,-4.4365,-3.0095,-8.9008,16.5038,-11.5725,41.61,In Hand
250,-8.4539,-4.6926,-3.6176,-13.7557,5.6489,-20.8550,41.61,In Hand
300,-7.9895,-4.3120,-4.0845,-28.8397,17.4656,-41.8473,41.71,In Hand
350,-7.0437,-4.1276,-3.7445,-43.3893,30.6412,-54.0153,41.42,In Hand
400,-8.0876,-4.8387,-3.8044,-51.3130,33.9695,-41.4504,41.61,In Hand
450,-7.9224,-5.0230,-3.3758,-40.9313,18.9466,-17.6489,41.89,In Hand
500,-7.2808,-4.8315,-2.8970,-20.8092,2.8244,-0.4275,41.89,In Hand
550,-7.6064,-4.6448,-3.3303,3.9389,-21.0229,9.3588,41.47,In Hand
600,-7.6231,-4.7860,-3.9983,13.5725,-35.2672,23.7099,41.38,In Hand
650,-7.5322,-4.6687,-4.1444,24.7023,-38.5496,18.6412,41.42,In Hand
700,-7.2329,-4.2521,-3.9863,27.5114,-45.4809,26.5038,41.42,In Hand
750,-6.8115,-3.9983,-3.8930,23.1908,-45.8168,32.1832,41.47,In Hand
800,-6.6463,-4.0079,-3.9073,15.2672,-40.4580,37.7252,41.75,In Hand
850,-6.6559,-4.1899,-3.7469,9.7252,-31.9695,41.9695,41.57,In Hand
900,-7.0725,-4.6328,-4.0007,11.3435,-19.6641,30.7481,41.42,In Hand
950,-7.3717,-4.6567,-3.9552,12.7634,-6.6412,9.5878,41.71,In Hand
1000,-7.2042,-4.4077,-3.8810,11.1603,11.9847,-21.3893,41.61,In Hand
1050,-7.5513,-4.3263,-3.6631,3.6489,23.4504,-43.9695,41.80,In Hand
1100,-7.8650,-4.4460,-3.5721,1.3282,23.9695,-58.7176,41.57,In Hand
1150,-7.8075,-4.4939,-3.3734,0.7176,19.4504,-63.5573,41.61,In Hand
1200,-7.0557,-4.2234,-3.0358,0.4580,12.1527,-49.6794,41.80,In Hand
1250,-7.2042,-4.2569,-2.9137,-0.6260,4.2443,-35.5267,41.47,In Hand
1300,-7.0413,-3.9504,-2.7533,-14.3511,1.9695,-23.6183,41.57,In Hand
1350,-7.2472,-4.3622,-2.7821,-28.5802,-11.5878,-0.8397,41.57,In Hand
1400,-7.0533,-4.7549,-2.6336,-33.3282,-27.9084,14.8855,41.47,In Hand
1450,-7.4388,-5.3223,-2.9281,-29.4962,-44.7634,16.3511,41.71,In Hand
1500,-7.2856,-5.2361,-2.6911,-28.2137,-58.9313,18.5191,41.71,In Hand
1550,-7.5513,-5.5929,-2.9353,-34.1069,-58.4122,5.4504,41.71,In Hand
1600,-7.5441,-5.3127,-2.5355,-40.0611,-57.6947,-1.0840,41.71,In Hand
1650,-7.8721,-4.9344,-2.6360,-51.6489,-47.0382,-12.7176,41.47,In Hand
1700,-7.7069,-5.0709,-3.0885,-56.3359,-24.5038,-30.1679,41.61,In Hand
1750,-7.4340,-4.8076,-3.3088,-53.4198,-2.2137,-27.1298,41.38,In Hand
1800,-8.1068,-5.4851,-3.2729,-38.7786,5.7863,-14.9924,41.61,In Hand
1850,-7.4244,-4.9871,-3.2465,-24.2901,25.1756,-20.2901,41.75,In Hand
1900,-7.2832,-4.7070,-3.0598,-11.6489,40.3969,-21.7252,41.61,In Hand
1950,-7.8482,-5.0063,-3.1460,9.0382,34.7176,-11.3435,41.75,In Hand
2000,-7.3574,-4.0941,-2.6480,17.3893,23.0382,-1.0229,41.80,In Hand
2050,-6.8594,-3.5027,-2.2984,9.3435,4.3359,23.6031,41.38,In Hand
2100,-6.3686,-3.3112,-2.4588,-4.8397,-10.5954,39.8015,41.80,In Hand
2150,-7.4508,-3.1173,-3.1364,-41.7863,-4.5038,43.5573,41.57,In Hand
2200,-7.6543,-4.1444,-3.2417,-54.4427,-9.8015,27.6183,41.61,In Hand
2250,-7.2089,-4.0606,-2.9640,-62.7939,-14.1985,10.1069,41.47,In Hand
2300,-7.8889,-4.9105,-3.3950,-59.8626,-16.9771,-8.3817,41.71,In Hand
2350,-7.4795,-4.9105,-3.3734,-49.8321,-2.9466,-42.8855,41.75,In Hand
2400,-7.4867,-4.7932,-3.2322,-40.1527,17.6489,-71.5267,41.57,In Hand
2450,-7.3167,-4.6376,-2.9042,-30.8550,27.6183,-78.0153,41.47,In Hand
