time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp_c,label
50,1.8004,9.1435,2.2673,6.1221,11.1298,-13.9847,42.22,On Head
100,0.7757,10.0892,2.1428,5.0992,20.0153,-21.0534,42.32,On Head
150,0.1006,10.6111,2.1261,-6.1374,20.3817,-12.4885,42.22,On Head
200,-0.1341,10.1538,2.5905,-14.0763,20.3359,-3.3435,42.27,On Head
250,0.1676,9.6750,2.9640,-15.1603,21.5725,2.5802,42.41,On Head
300,-0.1389,9.3996,3.4836,-8.2443,17.3740,1.2519,42.32,On Head
350,-0.2155,9.4954,3.3327,-2.1069,11.3130,0.6718,41.99,On Head
400,-1.0223,9.1913,3.9696,5.6183,-1.1756,-1.3282,41.94,On Head
450,-2.0087,10.6662,3.6416,3.1603,-46.1679,10.9160,42.27,On Head
500,-0.8164,9.8976,3.2154,-7.6031,-77.7405,2.1985,42.41,On Head
550,-0.2394,9.9216,2.8539,-7.8321,-95.6947,11.2061,42.32,On Head
600,0.4477,9.6845,2.6193,-6.9466,-107.2672,19.3435,42.51,On Head
650,2.0853,9.1650,2.2889,-2.2595,-94.2901,17.0229,42.41,On Head
700,2.8683,9.0932,1.9010,7.7405,-67.0229,12.3969,42.27,On Head
750,2.4157,9.7061,1.7142,11.5420,-41.0840,12.0000,42.27,On Head
800,2.4181,9.7205,1.6017,9.2977,-26.2290,9.8321,41.80,On Head
850,2.2960,9.9982,1.4844,4.8092,-13.6641,12.6260,41.80,On Head
900,2.3008,9.5768,1.6137,2.1985,-7.5725,13.8931,42.41,On Head
950,2.4804,9.5960,1.3958,5.8015,-4.4733,10.0916,42.32,On Head
1000,2.7629,9.9120,1.1301,4.5344,10.4427,12.6260,41.99,On Head
1050,2.4469,9.8330,1.1684,4.6565,17.3130,16.7023,42.32,On Head
1100,2.5379,9.8186,0.9194,5.1908,17.0382,17.4198,42.22,On Head
1150,2.9401,9.9982,0.6943,-1.2214,16.9466,20.0000,42.41,On Head
1200,3.4500,9.5313,0.8763,-7.6947,22.0000,17.5114,42.22,On Head
1250,3.2729,9.2680,1.2067,-7.4656,28.1679,13.3130,42.41,On Head
1300,3.2394,9.5337,1.4868,-11.7557,26.3969,6.7939,42.27,On Head
1350,3.0023,9.3518,1.6352,-12.9160,27.4962,9.0687,42.51,On Head
1400,3.3591,8.9950,2.0830,-15.8626,29.0687,2.1374,42.27,On Head
1450,2.9784,9.0908,2.5857,-19.1450,29.3588,-7.4656,42.32,On Head
1500,2.4229,8.9423,3.2920,-17.9389,20.7634,-5.0840,42.60,On Head
1550,2.8587,8.8394,3.1364,-11.8321,15.8473,-8.2137,42.51,On Head
1600,3.2513,9.6654,3.0765,-11.2977,20.8702,-6.5038,42.60,On Head
